id,t,count,error_type,scene,wave,system,unit_type,team,state,wx,wd,behavior,magic,army_type,units,enemies,fps,detail,screenshot
1,1.5,17797,boundary_break,Battle,0,Battle.hall,veteran,ally,RANK,219.0,257.0,corner_hold,0.0,veteran,48,0,68.0,unit through the hall wall |wx| 219 > HALL_HALF 200,adversary_23_f1.png
2,2.5,8643,boundary_break,Battle,0,Battle.hall,vet_ranged,ally,ADVANCE,215.0,55.0,swap_spam,0.0,vet_ranged,114,18,220.0,unit through the hall wall |wx| 215 > HALL_HALF 200,adversary_23_f2.png
3,2.6,26152,boundary_break,Battle,0,Battle.hall,hammer,ally,RANK,214.0,257.0,swap_spam,0.0,hammer,162,18,220.0,unit through the hall wall |wx| 214 > HALL_HALF 200,adversary_23_f3.png
4,2.6,29298,boundary_break,Battle,0,Battle.hall,halberdier,ally,ADVANCE,222.0,55.0,swap_spam,0.0,halberdier,162,18,220.0,unit through the hall wall |wx| 222 > HALL_HALF 200,adversary_23_f4.png
5,3.5,8399,exploit,Battle,0,Battle._hitstop,,,,,,cursor_warp,0.0,halberdier,218,18,153.0,Engine.time_scale=0.05 held 1.0s real time (hit stop re-armed every frame),adversary_23_f5.png
