id,t,count,error_type,scene,wave,system,unit_type,team,state,wx,wd,behavior,magic,army_type,units,enemies,fps,detail,screenshot
1,1.5,47954,boundary_break,Battle,0,Battle.hall,veteran,ally,RANK,217.0,256.0,launch_all,0.0,veteran,48,0,96.0,unit through the hall wall |wx| 217 > HALL_HALF 200,adversary_11_f1.png
2,19.3,816,boundary_break,Battle,1,Battle.hall,vet_ranged,ally,ADVANCE,211.0,55.0,swap_spam,2750015.0,vet_ranged,96,0,241.0,unit through the hall wall |wx| 211 > HALL_HALF 200,adversary_11_f2.png
3,19.3,32602,boundary_break,Battle,1,Battle.hall,hammer,ally,RANK,212.0,258.0,swap_spam,2750015.0,hammer,144,0,241.0,unit through the hall wall |wx| 212 > HALL_HALF 200,adversary_11_f3.png
4,19.4,5392,boundary_break,Battle,1,Battle.hall,halberdier,ally,ADVANCE,219.0,55.0,swap_spam,2750015.0,halberdier,192,0,241.0,unit through the hall wall |wx| 219 > HALL_HALF 200,adversary_11_f4.png
5,26.3,5142,exploit,Battle,0,Battle._hitstop,,,,,,swap_spam,2749957.0,veteran,340,93,102.0,Engine.time_scale=0.05 held 1.0s real time (hit stop re-armed every frame),adversary_11_f5.png
